date,open,high,low,close,adj_close,volume,"('date', '')","('open', 'LEU')","('high', 'LEU')","('low', 'LEU')","('close', 'LEU')","('adj_close', 'LEU')","('volume', 'LEU')","('currency', '')"
2024-11-26,82.76000213623047,89.18000030517578,81.41000366210938,81.44999694824219,81.44999694824219,725600,,,,,,,,
2024-11-27,82.30000305175781,86.3499984741211,82.08999633789062,82.48999786376953,82.48999786376953,787100,,,,,,,,
2024-11-29,83.88999938964844,92.4000015258789,83.04000091552734,91.0,91.0,838100,,,,,,,,
2024-12-02,92.81999969482422,92.81999969482422,82.0999984741211,82.47000122070312,82.47000122070312,1011700,,,,,,,,
2024-12-03,82.0,82.5,74.4000015258789,76.91999816894531,76.91999816894531,1211700,,,,,,,,
2024-12-04,77.30000305175781,80.72000122070312,76.05000305175781,76.55000305175781,76.55000305175781,967700,,,,,,,,
2024-12-05,76.0,80.04000091552734,73.75,78.80000305175781,78.80000305175781,776500,,,,,,,,
2024-12-06,79.7300033569336,81.94999694824219,76.62999725341797,78.29000091552734,78.29000091552734,625500,,,,,,,,
2024-12-09,78.41000366210938,79.12000274658203,72.19999694824219,72.61000061035156,72.61000061035156,690500,,,,,,,,
2024-12-10,72.16000366210938,74.95999908447266,70.69999694824219,71.56999969482422,71.56999969482422,506100,,,,,,,,
2024-12-11,76.0,79.33999633789062,74.3499984741211,75.11000061035156,75.11000061035156,994700,,,,,,,,
2024-12-12,75.61000061035156,78.0,73.5999984741211,74.54000091552734,74.54000091552734,486300,,,,,,,,
2024-12-13,74.62000274658203,76.98999786376953,72.08000183105469,72.41999816894531,72.41999816894531,333900,,,,,,,,
2024-12-16,72.41999816894531,78.0,70.05999755859375,76.73999786376953,76.73999786376953,715000,,,,,,,,
2024-12-17,76.73999786376953,76.73999786376953,68.80000305175781,71.9000015258789,71.9000015258789,769400,,,,,,,,
2024-12-18,73.0,74.6500015258789,68.0,69.31999969482422,69.31999969482422,703300,,,,,,,,
2024-12-19,70.0,71.41999816894531,67.0,68.2300033569336,68.2300033569336,666500,,,,,,,,
2024-12-20,66.73999786376953,70.61000061035156,66.51000213623047,66.80000305175781,66.80000305175781,722000,,,,,,,,
2024-12-23,67.05000305175781,68.66000366210938,65.5999984741211,68.23999786376953,68.23999786376953,534900,,,,,,,,
2024-12-24,68.47000122070312,69.56999969482422,66.51000213623047,69.04000091552734,69.04000091552734,215800,,,,,,,,
2024-12-26,68.0,73.0,67.80000305175781,72.62999725341797,72.62999725341797,468800,,,,,,,,
2024-12-27,73.30000305175781,74.7699966430664,68.76000213623047,70.70999908447266,70.70999908447266,458700,,,,,,,,
2024-12-30,69.76000213623047,70.76000213623047,67.1500015258789,67.86000061035156,67.86000061035156,504000,,,,,,,,
2024-12-31,68.79000091552734,69.87999725341797,65.11000061035156,66.61000061035156,66.61000061035156,576100,,,,,,,,
2025-01-02,67.5199966430664,74.33999633789062,67.5199966430664,74.05000305175781,74.05000305175781,641100,,,,,,,,
2025-01-03,75.16000366210938,82.01000213623047,74.7699966430664,80.80000305175781,80.80000305175781,763200,,,,,,,,
2025-01-06,83.80000305175781,84.23999786376953,80.5,81.58000183105469,81.58000183105469,568300,,,,,,,,
2025-01-07,81.06999969482422,82.02999877929688,72.52999877929688,73.6500015258789,73.6500015258789,806400,,,,,,,,
2025-01-08,72.33000183105469,73.61000061035156,69.51000213623047,72.41999816894531,72.41999816894531,715500,,,,,,,,
2025-01-10,72.41999816894531,74.66000366210938,69.5,70.83000183105469,70.83000183105469,379000,,,,,,,,
2025-01-13,69.44999694824219,72.44000244140625,68.0999984741211,69.76000213623047,69.76000213623047,580300,,,,,,,,
2025-01-14,72.02999877929688,72.75,68.5999984741211,69.86000061035156,69.86000061035156,250000,,,,,,,,
2025-01-15,72.0,74.13999938964844,70.1500015258789,73.62000274658203,73.62000274658203,782100,,,,,,,,
2025-01-16,74.51000213623047,75.05000305175781,72.0199966430664,74.05999755859375,74.05999755859375,295400,,,,,,,,
2025-01-17,75.22000122070312,79.12000274658203,74.12999725341797,77.83000183105469,77.83000183105469,699600,,,,,,,,
2025-01-21,81.62999725341797,89.37999725341797,79.06999969482422,88.52999877929688,88.52999877929688,1369500,,,,,,,,
2025-01-22,94.38999938964844,94.38999938964844,88.63999938964844,90.80999755859375,90.80999755859375,1199400,,,,,,,,
2025-01-23,89.3499984741211,97.69999694824219,89.0,94.19999694824219,94.19999694824219,1111900,,,,,,,,
2025-01-24,97.9000015258789,99.56999969482422,91.30999755859375,92.0,92.0,883000,,,,,,,,
2025-01-27,83.5,84.2300033569336,76.5,78.19000244140625,78.19000244140625,1896400,,,,,,,,
2025-01-28,80.0,81.02999877929688,75.0,78.91999816894531,78.91999816894531,629200,,,,,,,,
2025-01-29,79.58000183105469,82.69999694824219,79.19999694824219,81.37999725341797,81.37999725341797,508400,,,,,,,,
2025-01-30,82.77999877929688,86.87999725341797,82.63999938964844,85.37999725341797,85.37999725341797,552700,,,,,,,,
2025-01-31,86.91000366210938,87.45999908447266,82.13999938964844,82.30000305175781,82.30000305175781,689900,,,,,,,,
2025-02-03,78.0,83.2300033569336,77.01000213623047,81.87000274658203,81.87000274658203,390200,,,,,,,,
2025-02-04,85.33000183105469,85.5999984741211,78.75,80.4000015258789,80.4000015258789,517100,,,,,,,,
2025-02-05,79.6500015258789,86.83000183105469,79.51000213623047,84.4000015258789,84.4000015258789,700100,,,,,,,,
2025-02-06,85.23999786376953,85.54000091552734,78.83999633789062,81.80999755859375,81.80999755859375,669500,,,,,,,,
2025-02-07,94.9000015258789,111.9000015258789,86.9000015258789,108.91000366210938,108.91000366210938,4301500,,,,,,,,
2025-02-10,107.0,119.41999816894531,104.5,114.38999938964844,114.38999938964844,1627800,,,,,,,,
2025-02-11,112.56999969482422,118.97000122070312,112.4000015258789,114.0,114.0,1123700,,,,,,,,
2025-02-12,113.37000274658203,122.94999694824219,113.0,118.70999908447266,118.70999908447266,1221100,,,,,,,,
2025-02-13,121.5,122.0,111.77999877929688,117.7699966430664,117.7699966430664,939000,,,,,,,,
2025-02-14,118.0,118.0,112.5,113.98999786376953,113.98999786376953,562700,,,,,,,,
2025-02-18,112.2300033569336,115.7699966430664,108.08000183105469,111.66000366210938,111.66000366210938,653300,,,,,,,,
2025-02-19,108.80999755859375,110.0,104.33999633789062,106.0,106.0,963200,,,,,,,,
2025-02-20,105.31999969482422,106.12999725341797,101.0,104.16000366210938,104.16000366210938,660100,,,,,,,,
2025-02-21,104.62000274658203,104.94999694824219,94.63999938964844,98.2699966430664,98.2699966430664,989700,,,,,,,,
2025-02-24,97.33000183105469,97.33000183105469,88.08999633789062,89.58000183105469,89.58000183105469,909400,,,,,,,,
2025-02-25,92.3499984741211,93.66999816894531,85.5,87.62999725341797,87.62999725341797,909400,,,,,,,,
2025-02-26,90.36000061035156,95.5,88.86000061035156,93.5,93.5,741200,,,,,,,,
2025-02-27,96.5,98.0,89.33000183105469,89.5199966430664,89.5199966430664,707000,,,,,,,,
2025-02-28,88.52999877929688,91.88999938964844,84.69999694824219,90.7300033569336,90.7300033569336,739000,,,,,,,,
2025-03-03,92.66000366210938,93.33000183105469,82.62000274658203,84.0,84.0,912700,,,,,,,,
2025-03-04,80.66000366210938,90.47000122070312,79.61000061035156,88.80000305175781,88.80000305175781,939800,,,,,,,,
2025-03-05,90.33999633789062,90.33999633789062,81.41000366210938,84.55999755859375,84.55999755859375,929000,,,,,,,,
2025-03-06,81.5,82.76000213623047,78.05000305175781,79.72000122070312,79.72000122070312,632500,,,,,,,,
2025-03-07,79.33999633789062,81.5,75.91999816894531,79.80999755859375,79.80999755859375,570200,,,,,,,,
2025-03-10,76.87999725341797,77.5,71.62999725341797,74.01000213623047,74.01000213623047,749600,,,,,,,,
2025-03-11,73.0,77.33999633789062,72.11000061035156,73.95999908447266,73.95999908447266,600300,,,,,,,,
2025-03-12,77.0,78.5999984741211,73.0999984741211,74.23999786376953,74.23999786376953,596600,,,,,,,,
2025-03-13,74.08000183105469,75.19999694824219,70.98999786376953,71.95999908447266,71.95999908447266,323800,,,,,,,,
2025-03-14,75.05000305175781,77.5999984741211,73.6500015258789,76.37999725341797,76.37999725341797,478900,,,,,,,,
2025-03-17,76.75,80.12000274658203,74.19999694824219,76.05000305175781,76.05000305175781,488900,,,,,,,,
2025-03-18,75.9000015258789,76.70999908447266,72.3499984741211,73.0999984741211,73.0999984741211,402900,,,,,,,,
2025-03-19,73.55999755859375,77.58000183105469,72.79000091552734,75.97000122070312,75.97000122070312,555300,,,,,,,,
2025-03-20,74.37000274658203,78.55999755859375,74.06999969482422,74.27999877929688,74.27999877929688,635900,,,,,,,,
2025-03-21,73.16000366210938,74.56999969482422,71.87999725341797,74.0199966430664,74.0199966430664,667300,,,,,,,,
2025-03-24,76.44999694824219,77.69999694824219,75.19999694824219,76.87000274658203,76.87000274658203,514400,,,,,,,,
2025-03-25,76.06999969482422,77.23999786376953,72.76000213623047,73.7300033569336,73.7300033569336,490400,,,,,,,,
2025-03-26,74.2300033569336,74.36000061035156,69.18000030517578,69.98999786376953,69.98999786376953,473700,,,,,,,,
2025-03-27,69.47000122070312,70.62999725341797,67.30999755859375,69.0999984741211,69.0999984741211,411000,,,,,,,,
2025-03-28,68.5,69.76000213623047,65.58000183105469,66.25,66.25,366800,,,,,,,,
2025-03-31,63.779998779296875,63.900001525878906,61.0099983215332,62.209999084472656,62.209999084472656,980400,,,,,,,,
2025-04-01,64.66000366210938,68.19000244140625,60.650001525878906,64.91000366210938,64.91000366210938,888600,,,,,,,,
2025-04-02,62.709999084472656,65.7699966430664,62.220001220703125,63.0099983215332,63.0099983215332,728600,,,,,,,,
2025-04-03,60.099998474121094,62.0,57.220001220703125,57.709999084472656,57.709999084472656,862900,,,,,,,,
2025-04-04,54.79999923706055,56.0,49.400001525878906,54.43000030517578,54.43000030517578,1243600,,,,,,,,
2025-04-07,50.75,63.400001525878906,50.0,58.560001373291016,58.560001373291016,1327900,,,,,,,,
2025-04-08,63.65999984741211,64.30000305175781,53.75,55.45000076293945,55.45000076293945,687400,,,,,,,,
2025-04-09,55.209999084472656,65.41999816894531,53.790000915527344,64.3499984741211,64.3499984741211,1298700,,,,,,,,
2025-04-10,62.34000015258789,63.130001068115234,58.810001373291016,60.380001068115234,60.380001068115234,617900,,,,,,,,
2025-04-11,60.459999084472656,64.69999694824219,59.86000061035156,64.33999633789062,64.33999633789062,522100,,,,,,,,
2025-04-14,67.18000030517578,67.18000030517578,61.40999984741211,64.87000274658203,64.87000274658203,613300,,,,,,,,
2025-04-15,64.38999938964844,66.13999938964844,62.16999816894531,63.65999984741211,63.65999984741211,378000,,,,,,,,
2025-04-16,62.29999923706055,68.37999725341797,62.099998474121094,65.1500015258789,65.1500015258789,634500,,,,,,,,
2025-04-17,65.47000122070312,68.2300033569336,65.47000122070312,67.26000213623047,67.26000213623047,441000,,,,,,,,
2025-04-21,67.12999725341797,67.12999725341797,60.52000045776367,62.630001068115234,62.630001068115234,564600,,,,,,,,
2025-04-22,64.01000213623047,65.79000091552734,63.0,65.2300033569336,65.2300033569336,300500,,,,,,,,
2025-04-23,67.61000061035156,68.87999725341797,65.93000030517578,67.2699966430664,67.2699966430664,413900,,,,,,,,
2025-04-24,67.37000274658203,69.58000183105469,67.37000274658203,68.75,68.75,388600,,,,,,,,
2025-04-25,67.4000015258789,70.66000366210938,67.2699966430664,69.55999755859375,69.55999755859375,232700,,,,,,,,
2025-04-28,72.0,72.52999877929688,67.69999694824219,70.37000274658203,70.37000274658203,277000,,,,,,,,
2025-04-29,70.0,71.25,68.48999786376953,70.95999908447266,70.95999908447266,226400,,,,,,,,
2025-04-30,67.69000244140625,69.83999633789062,66.37999725341797,69.29000091552734,69.29000091552734,300800,,,,,,,,
2025-05-01,70.87999725341797,72.05000305175781,69.5,71.08999633789062,71.08999633789062,324000,,,,,,,,
2025-05-02,72.43000030517578,74.52999877929688,72.0,73.41999816894531,73.41999816894531,341700,,,,,,,,
2025-05-05,73.38999938964844,73.87000274658203,71.0,71.66000366210938,71.66000366210938,330700,,,,,,,,
2025-05-06,70.43000030517578,75.55999755859375,70.43000030517578,74.45999908447266,74.45999908447266,474600,,,,,,,,
2025-05-07,76.0,76.0,71.52999877929688,72.5,72.5,693400,,,,,,,,
2025-05-08,80.75,89.9000015258789,80.44999694824219,88.45999908447266,88.45999908447266,1899800,,,,,,,,
2025-05-09,90.83999633789062,94.05999755859375,88.47000122070312,93.5999984741211,93.5999984741211,1266600,,,,,,,,
2025-05-12,99.8499984741211,101.52999877929688,92.0999984741211,94.70999908447266,94.70999908447266,1046000,,,,,,,,
2025-05-13,94.91000366210938,97.5,92.13999938964844,92.56999969482422,92.56999969482422,769300,,,,,,,,
2025-05-14,94.06999969482422,98.68000030517578,92.77999877929688,96.91999816894531,96.91999816894531,2138100,,,,,,,,
2025-05-15,95.16000366210938,96.52999877929688,91.62999725341797,96.30999755859375,96.30999755859375,626700,,,,,,,,
2025-05-16,96.38999938964844,97.48999786376953,94.0,95.75,95.75,566100,,,,,,,,
2025-05-19,93.36000061035156,95.54000091552734,90.25,95.19999694824219,95.19999694824219,466800,,,,,,,,
2025-05-20,96.4800033569336,97.0,92.98999786376953,95.08999633789062,95.08999633789062,357100,,,,,,,,
2025-05-21,93.69999694824219,98.70999908447266,92.83999633789062,93.33999633789062,93.33999633789062,839300,,,,,,,,
2025-05-22,92.91000366210938,94.76000213623047,90.83000183105469,93.16999816894531,93.16999816894531,576700,,,,,,,,
2025-05-23,111.75,118.2699966430664,100.5,113.29000091552734,113.29000091552734,4260200,,,,,,,,
2025-05-27,115.80999755859375,129.1199951171875,115.80999755859375,127.86000061035156,127.86000061035156,3199400,,,,,,,,
2025-05-28,130.5500030517578,136.0,126.5,127.73999786376953,127.73999786376953,2487700,,,,,,,,
2025-05-29,129.60000610351562,130.0,122.38999938964844,123.5,123.5,1252100,,,,,,,,
2025-05-30,118.0,128.69000244140625,117.63999938964844,126.91999816894531,126.91999816894531,1169300,,,,,,,,
2025-06-02,125.04000091552734,127.98999786376953,123.26000213623047,124.58000183105469,124.58000183105469,771700,,,,,,,,
2025-06-03,135.47000122070312,139.0,130.2100067138672,131.4499969482422,131.4499969482422,1905100,,,,,,,,
2025-06-04,133.99000549316406,142.69000244140625,128.17999267578125,141.0,141.0,1903200,,,,,,,,
2025-06-05,144.3800048828125,146.8300018310547,130.80999755859375,136.33999633789062,136.33999633789062,1869400,,,,,,,,
2025-06-06,136.97999572753906,143.64999389648438,133.0,143.11000061035156,143.11000061035156,995700,,,,,,,,
2025-06-09,149.33999633789062,152.72000122070312,144.14999389648438,146.0800018310547,146.0800018310547,1263500,,,,,,,,
2025-06-10,147.58999633789062,149.38999938964844,140.64999389648438,145.9199981689453,145.9199981689453,970100,,,,,,,,
2025-06-11,147.1199951171875,165.0,147.1199951171875,158.1300048828125,158.1300048828125,2092600,,,,,,,,
2025-06-12,155.9600067138672,160.55999755859375,154.0500030517578,158.44000244140625,158.44000244140625,692000,,,,,,,,
2025-06-13,153.9499969482422,165.25,152.16000366210938,162.24000549316406,162.24000549316406,1045600,,,,,,,,
2025-06-16,172.60000610351562,176.6199951171875,166.5,169.92999267578125,169.92999267578125,1303600,,,,,,,,
2025-06-17,175.0,176.47000122070312,168.5800018310547,173.02999877929688,173.02999877929688,1129400,,,,,,,,
2025-06-18,176.0,182.38999938964844,174.6300048828125,180.9600067138672,180.9600067138672,1101300,,,,,,,,
2025-06-20,193.19000244140625,211.30999755859375,188.47999572753906,190.0399932861328,190.0399932861328,2947300,,,,,,,,
2025-06-23,198.75999450683594,204.9499969482422,183.61000061035156,192.25,192.25,1892000,,,,,,,,
2025-06-24,198.10000610351562,203.4600067138672,184.8800048828125,192.17999267578125,192.17999267578125,1965400,,,,,,,,
2025-06-25,195.6999969482422,195.6999969482422,177.0,181.17999267578125,181.17999267578125,1639700,,,,,,,,
2025-06-26,163.4600067138672,184.0,151.0,174.9600067138672,174.9600067138672,2570300,,,,,,,,
2025-06-27,177.30999755859375,178.66000366210938,161.74000549316406,168.64999389648438,168.64999389648438,1712900,,,,,,,,
2025-06-30,168.9499969482422,184.42999267578125,163.30999755859375,183.17999267578125,183.17999267578125,1367000,,,,,,,,
2025-07-01,173.1699981689453,176.83999633789062,166.8000030517578,168.7100067138672,168.7100067138672,1055300,,,,,,,,
2025-07-02,167.88999938964844,176.8000030517578,164.91000366210938,176.4600067138672,176.4600067138672,853800,,,,,,,,
2025-07-03,174.58999633789062,177.4199981689453,170.9499969482422,175.64999389648438,175.64999389648438,462100,,,,,,,,
2025-07-07,174.0,186.22999572753906,167.25999450683594,183.64999389648438,183.64999389648438,1050600,,,,,,,,
2025-07-08,185.5,188.5,171.13999938964844,173.85000610351562,173.85000610351562,1087300,,,,,,,,
2025-07-09,180.14999389648438,180.14999389648438,172.05999755859375,179.3699951171875,179.3699951171875,476000,,,,,,,,
2025-07-10,182.91000366210938,197.97999572753906,178.0,197.4600067138672,197.4600067138672,1517200,,,,,,,,
2025-07-11,192.5,206.9600067138672,192.0,206.39999389648438,206.39999389648438,1244900,,,,,,,,
2025-07-14,204.0,217.0,199.22999572753906,216.27000427246094,216.27000427246094,1015000,,,,,,,,
2025-07-15,219.33999633789062,221.0,208.0,215.25999450683594,215.25999450683594,1119800,,,,,,,,
2025-07-16,216.0,229.49000549316406,210.27999877929688,227.25999450683594,227.25999450683594,1217900,,,,,,,,
2025-07-17,228.3000030517578,235.82000732421875,225.39999389648438,233.88999938964844,233.88999938964844,1052000,,,,,,,,
2025-07-18,239.0,249.4199981689453,234.9499969482422,249.33999633789062,249.33999633789062,1219600,,,,,,,,
2025-07-21,249.66000366210938,250.8800048828125,222.22000122070312,224.0,224.0,1929000,,,,,,,,
2025-07-22,219.4499969482422,225.24000549316406,208.0,215.8300018310547,215.8300018310547,1350200,,,,,,,,
2025-07-23,221.5,233.89999389648438,218.0,229.50999450683594,229.50999450683594,1454100,,,,,,,,
2025-07-24,235.0,246.58999633789062,232.72999572753906,242.3300018310547,242.3300018310547,1084100,,,,,,,,
2025-07-25,245.0,246.0,239.0,241.0,241.0,747700,,,,,,,,
2025-07-28,246.0,246.1199951171875,227.57000732421875,239.39999389648438,239.39999389648438,821700,,,,,,,,
2025-07-29,239.6300048828125,242.0,222.89999389648438,224.0800018310547,224.0800018310547,1127600,,,,,,,,
2025-07-30,217.0,233.8699951171875,216.0,225.19000244140625,225.19000244140625,1003800,,,,,,,,
2025-07-31,225.16000366210938,227.24000549316406,213.0,215.39999389648438,215.39999389648438,1073000,,,,,,,,
2025-08-01,201.22000122070312,214.2100067138672,192.94000244140625,208.3300018310547,208.3300018310547,1299000,,,,,,,,
2025-08-04,212.0,212.0,198.60000610351562,210.0500030517578,210.0500030517578,1065100,,,,,,,,
2025-08-05,212.7899932861328,218.9600067138672,206.1199951171875,213.8000030517578,213.8000030517578,1086100,,,,,,,,
2025-08-06,237.0,264.8999938964844,230.10000610351562,232.38999938964844,232.38999938964844,2838200,,,,,,,,
2025-08-07,235.0,237.8300018310547,222.22000122070312,234.94000244140625,234.94000244140625,1528400,,,,,,,,
2025-08-08,230.16000366210938,246.0,217.02000427246094,223.14999389648438,223.14999389648438,1282800,,,,,,,,
2025-08-11,219.77000427246094,225.0,211.0,219.10000610351562,219.10000610351562,774700,,,,,,,,
2025-08-12,216.0,229.9600067138672,215.0,217.3699951171875,217.3699951171875,1028100,,,,,,,,
2025-08-13,200.99000549316406,201.8000030517578,183.3300018310547,187.44000244140625,187.44000244140625,5105500,,,,,,,,
2025-08-14,188.61000061035156,192.64999389648438,182.47000122070312,189.0800018310547,189.0800018310547,2849800,,,,,,,,
2025-08-15,187.0,187.55999755859375,177.0500030517578,183.41000366210938,183.41000366210938,1666500,,,,,,,,
2025-08-18,181.88999938964844,182.25,175.2100067138672,177.57000732421875,177.57000732421875,1075200,,,,,,,,
2025-08-19,178.7100067138672,179.0,164.75999450683594,166.5800018310547,166.5800018310547,1368200,,,,,,,,
2025-08-20,168.0,177.6699981689453,162.10000610351562,175.99000549316406,175.99000549316406,1543400,,,,,,,,
2025-08-21,177.07000732421875,179.94000244140625,173.82000732421875,177.27999877929688,177.27999877929688,833900,,,,,,,,
2025-08-22,178.92999267578125,191.99000549316406,174.32000732421875,186.47000122070312,186.47000122070312,1713600,,,,,,,,
2025-08-25,192.0,193.10000610351562,184.41000366210938,185.27999877929688,185.27999877929688,978600,,,,,,,,
2025-08-26,194.25,211.52000427246094,192.16000366210938,208.6699981689453,208.6699981689453,2440500,,,,,,,,
2025-08-27,205.58999633789062,210.47999572753906,197.67999267578125,198.2899932861328,198.2899932861328,1394600,,,,,,,,
2025-08-28,206.05999755859375,215.2899932861328,202.0,209.3800048828125,209.3800048828125,1529800,,,,,,,,
2025-08-29,211.69000244140625,212.0,195.0,201.72999572753906,201.72999572753906,1440300,,,,,,,,
2025-09-02,192.47000122070312,205.0,186.5,203.88999938964844,203.88999938964844,956100,,,,,,,,
2025-09-03,207.5,209.9499969482422,197.8800048828125,201.5399932861328,201.5399932861328,1061700,,,,,,,,
2025-09-04,202.0,205.8800048828125,198.05999755859375,199.00999450683594,199.00999450683594,619600,,,,,,,,
2025-09-05,201.0,205.39999389648438,191.67999267578125,205.38999938964844,205.38999938964844,928400,,,,,,,,
2025-09-08,205.5,208.22000122070312,198.1999969482422,204.67999267578125,204.67999267578125,767700,,,,,,,,
2025-09-09,205.0,223.97999572753906,202.44000244140625,217.89999389648438,217.89999389648438,1521700,,,,,,,,
2025-09-10,221.52999877929688,225.5,215.75999450683594,219.3000030517578,219.3000030517578,884200,,,,,,,,
2025-09-11,218.0,232.6699981689453,214.0,224.32000732421875,224.32000732421875,1182100,,,,,,,,
2025-09-12,220.3300018310547,228.0,219.89999389648438,222.1300048828125,222.1300048828125,663200,,,,,,,,
2025-09-15,222.6999969482422,243.8000030517578,220.1300048828125,243.47999572753906,243.47999572753906,1491600,,,,,,,,
2025-09-16,243.0,243.24000549316406,226.42999267578125,233.6199951171875,233.6199951171875,1311400,,,,,,,,
2025-09-17,233.0,235.0,221.22999572753906,230.14999389648438,230.14999389648438,950800,,,,,,,,
2025-09-18,236.02000427246094,264.8800048828125,231.6199951171875,262.6499938964844,262.6499938964844,1886100,,,,,,,,
2025-09-19,260.0,301.57000732421875,260.0,294.489990234375,294.489990234375,3395600,,,,,,,,
2025-09-22,296.8800048828125,312.5400085449219,282.55999755859375,306.2200012207031,306.2200012207031,1943700,,,,,,,,
2025-09-23,310.0,312.0,295.04998779296875,302.5899963378906,302.5899963378906,1287500,,,,,,,,
2025-09-24,303.489990234375,304.9700012207031,276.0,276.0,276.0,1618000,,,,,,,,
2025-09-25,265.25,318.0799865722656,261.55999755859375,312.19000244140625,312.19000244140625,2995300,,,,,,,,
2025-09-26,316.1499938964844,338.0,297.0,305.3500061035156,305.3500061035156,1763800,,,,,,,,
2025-09-29,316.70001220703125,322.0,299.4599914550781,315.6199951171875,315.6199951171875,1350400,,,,,,,,
2025-09-30,307.989990234375,320.760009765625,306.0,310.07000732421875,310.07000732421875,1056800,,,,,,,,
2025-10-01,303.989990234375,334.7799987792969,303.5799865722656,331.1099853515625,331.1099853515625,1124800,,,,,,,,
2025-10-02,339.9700012207031,350.0299987792969,325.5,349.0899963378906,349.0899963378906,1005800,,,,,,,,
2025-10-03,351.5,360.1400146484375,334.04998779296875,343.489990234375,343.489990234375,1077000,,,,,,,,
2025-10-06,348.9599914550781,361.3699951171875,339.0,356.2799987792969,356.2799987792969,977300,,,,,,,,
2025-10-07,357.8999938964844,388.6199951171875,357.0,370.07000732421875,370.07000732421875,1303200,,,,,,,,
2025-10-08,378.8800048828125,386.0,359.010009765625,364.2200012207031,364.2200012207031,1266700,,,,,,,,
2025-10-09,367.1199951171875,389.4100036621094,362.9800109863281,371.0899963378906,371.0899963378906,1101200,,,,,,,,
2025-10-10,380.9800109863281,423.239990234375,362.6499938964844,363.7099914550781,363.7099914550781,2618500,,,,,,,,
2025-10-13,414.760009765625,430.0,387.04998779296875,400.739990234375,400.739990234375,1944300,,,,,,,,
2025-10-14,387.0,415.1300048828125,370.0,396.1600036621094,396.1600036621094,1373700,,,,,,,,
2025-10-15,430.0,460.5,412.1600036621094,436.0,436.0,2025900,,,,,,,,
2025-10-16,454.0,464.25,406.010009765625,415.42999267578125,415.42999267578125,2058200,,,,,,,,
2025-10-17,398.67999267578125,411.510009765625,365.6400146484375,380.17999267578125,380.17999267578125,2461100,,,,,,,,
2025-10-20,400.0,408.989990234375,372.6000061035156,399.8699951171875,399.8699951171875,1452000,,,,,,,,
2025-10-21,385.0,395.0,367.7699890136719,377.010009765625,377.010009765625,1063400,,,,,,,,
2025-10-22,351.2300109863281,365.0,293.82000732421875,314.8299865722656,314.8299865722656,3387000,,,,,,,,
2025-10-23,320.0,349.9599914550781,308.0,344.2300109863281,344.2300109863281,1691000,,,,,,,,
2025-10-24,364.3299865722656,388.0,354.0,383.0,383.0,1539600,,,,,,,,
2025-10-27,391.1499938964844,391.79998779296875,350.6000061035156,359.7300109863281,359.7300109863281,1540100,,,,,,,,
2025-10-28,374.0,382.2699890136719,354.1000061035156,363.70001220703125,363.70001220703125,1233000,,,,,,,,
2025-10-29,366.239990234375,402.0,355.989990234375,390.82000732421875,390.82000732421875,1538500,,,,,,,,
2025-10-30,375.0,393.9800109863281,371.0,383.30999755859375,383.30999755859375,817500,,,,,,,,
2025-10-31,386.0,390.0,360.17999267578125,367.4599914550781,367.4599914550781,1041400,,,,,,,,
2025-11-03,350.7300109863281,362.0799865722656,332.0,342.989990234375,342.989990234375,1412400,,,,,,,,
2025-11-04,313.75,340.0,312.0199890136719,327.20001220703125,327.20001220703125,1013300,,,,,,,,
2025-11-05,331.0,338.8599853515625,321.0,325.7300109863281,325.7300109863281,1076700,,,,,,,,
2025-11-06,287.3500061035156,299.8999938964844,266.0,277.7799987792969,277.7799987792969,2501900,,,,,,,,
2025-11-07,254.17999267578125,298.9599914550781,254.00999450683594,294.1600036621094,294.1600036621094,1907300,,,,,,,,
2025-11-10,308.989990234375,317.1700134277344,280.4800109863281,290.20001220703125,290.20001220703125,1478400,,,,,,,,
2025-11-11,279.07000732421875,283.79998779296875,267.1600036621094,275.5400085449219,275.5400085449219,989100,,,,,,,,
2025-11-12,277.04998779296875,283.8900146484375,266.7900085449219,275.6000061035156,275.6000061035156,723200,,,,,,,,
2025-11-13,263.6099853515625,269.0,247.8699951171875,253.85000610351562,253.85000610351562,1219600,,,,,,,,
2025-11-14,231.0,261.0,230.00999450683594,250.0,250.0,1396900,,,,,,,,
2025-11-17,240.0,251.83999633789062,240.0,245.63999938964844,245.63999938964844,850200,,,,,,,,
2025-11-18,240.0800018310547,251.3000030517578,235.35000610351562,246.0800018310547,246.0800018310547,884400,,,,,,,,
2025-11-19,252.32000732421875,267.989990234375,247.94000244140625,264.2699890136719,264.2699890136719,1345300,,,,,,,,
2025-11-20,282.9599914550781,286.0,239.63999938964844,241.30999755859375,241.30999755859375,1462000,,,,,,,,
2025-11-21,236.1999969482422,243.64999389648438,221.35000610351562,241.72999572753906,241.72999572753906,1161100,,,,,,,,
2025-11-24,237.0,253.0,235.0,249.83999633789062,249.83999633789062,1052400,,,,,,,,
2025-11-25,249.83999633789062,252.5,232.19000244140625,248.97999572753906,248.97999572753906,580600,,,,,,,,
2025-11-26,254.0,258.32000732421875,250.35000610351562,254.22000122070312,254.22000122070312,486000,,,,,,,,
2025-11-28,259.0,263.6000061035156,253.55999755859375,259.29998779296875,259.29998779296875,434500,,,,,,,,
2025-12-01,250.0,257.4200134277344,248.0399932861328,251.36000061035156,251.36000061035156,531500,,,,,,,,
